PeakID (cmd=annotatePeaks.pl - hg38 -go results/C16_NA_LUT_Up)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
EIF2S3	chrX	24097881	24098335	+	0	NA	Intergenic	L1MB5|LINE|L1	43152	NM_001415	1968		NM_001415	ENSG00000130741	EIF2S3	EIF2|EIF2G|EIF2gamma|MEHMO|MRXSBRK|eIF-2gA|eIF2gX	eukaryotic translation initiation factor 2 subunit gamma	protein-coding
LINC02237-2	chr8	111692021	111692760	+	0	NA	Intergenic	L1PA15|LINE|L1	315751	NR_146282	105375706		NR_146282	ENSG00000253434	LINC02237	-	long intergenic non-protein coding RNA 2237	ncRNA
LINC01950	chr5	107147626	107147948	+	0	NA	Intergenic	Intergenic	-136773	NR_104671	102467213		NR_104671	ENSG00000251027	LINC01950	-	long intergenic non-protein coding RNA 1950	ncRNA
PTPN13	chr4	86719988	86721057	+	0	NA	intron (NM_080683, intron 9 of 47)	intron (NM_080683, intron 9 of 47)	126207	NM_080684	5783		NM_006264	ENSG00000163629	PTPN13	FAP-1|PNP1|PTP-BAS|PTP-BL|PTP1E|PTPL1|PTPLE|hPTP1E	protein tyrosine phosphatase non-receptor type 13	protein-coding
SCOC	chr4	140353715	140354171	+	0	NA	intron (NM_001153690, intron 1 of 2)	intron (NM_001153690, intron 1 of 2)	10482	NM_001153690	60592		NM_032547	ENSG00000153130	SCOC	HRIHFB2072|SCOCO|UNC-69	short coiled-coil protein	protein-coding
SEMA3C-4	chr7	80852949	80853631	+	0	NA	intron (NM_001350120, intron 2 of 17)	L1MA3|LINE|L1	65761	NM_006379	10512		NM_006379	ENSG00000075223	SEMA3C	SEMAE|SemE	semaphorin 3C	protein-coding
ACVR2A	chr2	147756050	147756862	+	0	NA	Intergenic	Intergenic	-88061	NM_001278579	92		NM_001616	ENSG00000121989	ACVR2A	ACTRII|ACVR2	activin A receptor type 2A	protein-coding
MIR4477B-2	chr20	29838349	29839602	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	-41409	NR_039689	100616194		NR_039689	ENSG00000266017	MIR4477B	-	microRNA 4477b	ncRNA
GOLGA7B-DT	chr10	97843212	97843708	+	0	NA	intron (NR_108035, intron 1 of 2)	intron (NR_108035, intron 1 of 2)	6338	NR_108035	100505561		NR_108035	ENSG00000227356	GOLGA7B-DT	LINC00866	GOLGA7B divergent transcript	ncRNA
LINC01917-2	chr18	53639609	53639940	+	0	NA	Intergenic	MIR|SINE|MIR	-58715	NR_110800	101928167		NR_110800	ENSG00000260433	LINC01917	-	long intergenic non-protein coding RNA 1917	ncRNA
GRB14	chr2	164425278	164425557	+	0	NA	Intergenic	Intergenic	143078	NM_001303422	2888		NM_004490	ENSG00000115290	GRB14	-	growth factor receptor bound protein 14	protein-coding
UTRN	chr6	144736920	144737221	+	0	NA	intron (NM_001375323, intron 4 of 24)	intron (NM_001375323, intron 4 of 24)	153922	NM_001375323	7402		NM_007124	ENSG00000152818	UTRN	DMDL|DRP|DRP1	utrophin	protein-coding
MTMR12-2	chr5	32251749	32252421	+	0	NA	intron (NM_001294344, intron 8 of 13)	intron (NM_001294344, intron 8 of 13)	60854	NM_001040446	54545		NM_019061	ENSG00000150712	MTMR12	3-PAP|PIP3AP	myotubularin related protein 12	protein-coding
LINC02172-4	chr4	137649885	137650670	+	0	NA	Intergenic	L1MC4|LINE|L1	104546	NR_146553	105377443		NR_146553	ENSG00000251632	LINC02172	-	long intergenic non-protein coding RNA 2172	ncRNA
PCDH9	chr13	67117041	67117483	+	0	NA	intron (NM_203487, intron 2 of 4)	intron (NM_203487, intron 2 of 4)	113074	NM_203487	5101		NM_020403	ENSG00000184226	PCDH9	-	protocadherin 9	protein-coding
ALG10B-4	chr12	37631253	37631976	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	-685160	NM_001308340	144245		NM_001013620	ENSG00000175548	ALG10B	ALG10|KCR1	ALG10 alpha-1,2-glucosyltransferase B	protein-coding
STEAP1B-AS1	chr7	22589241	22590233	+	0	NA	Intergenic	Intergenic	26400	NR_038393	100506178		NR_038393	ENSG00000232759	STEAP1B-AS1	-	STEAP1B antisense RNA 1	ncRNA
LINC01680	chr1	190935993	190936331	+	0	NA	Intergenic	Intergenic	292336	NR_146892	105371660		NR_146892	ENSG00000233882	LINC01680	-	long intergenic non-protein coding RNA 1680	ncRNA
PRDM9	chr5	23389483	23390125	+	0	NA	Intergenic	Intergenic	-117351	NM_001376900	56979		NM_020227	ENSG00000164256	PRDM9	KMT8B|MEISETZ|MSBP3|PFM6|ZNF899	PR/SET domain 9	protein-coding
COL9A1	chr6	70202673	70203297	+	0	NA	intron (NM_001858, intron 49 of 50)	intron (NM_001858, intron 49 of 50)	80212	NM_001377290	1297		NM_001851	ENSG00000112280	COL9A1	DJ149L1.1.2|EDM6|MED|STL4	collagen type IX alpha 1 chain	protein-coding
TGFB2	chr1	218338266	218339505	+	0	NA	TTS (NM_016052)	TTS (NM_016052)	-6399	NR_138148	7042		NM_003238	ENSG00000092969	TGFB2	G-TSF|LDS4|TGF-beta2	transforming growth factor beta 2	protein-coding
ESR1	chr6	151894091	151894649	+	0	NA	intron (NM_001385572, intron 3 of 6)	L1PBa1|LINE|L1	85263	NM_001328100	2099		NM_000125	ENSG00000091831	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	estrogen receptor 1	protein-coding
VRK2	chr2	57712081	57712534	+	0	NA	Intergenic	Intergenic	-195344	NM_001288838	7444		NM_006296	ENSG00000028116	VRK2	-	VRK serine/threonine kinase 2	protein-coding
PCDH9-AS2	chr13	66880035	66880358	+	0	NA	intron (NR_046527, intron 3 of 5)	intron (NR_046527, intron 3 of 5)	55027	NR_046527	100874064		NR_046527	ENSG00000228842	PCDH9-AS2	-	PCDH9 antisense RNA 2	ncRNA
ALCAM	chr3	104908870	104909732	+	0	NA	Intergenic	Intergenic	-457412	NM_001243283	214		NM_001627	ENSG00000170017	ALCAM	CD166|MEMD	activated leukocyte cell adhesion molecule	protein-coding
RAD51B-2	chr14	68208487	68208743	+	0	NA	intron (NM_133509, intron 7 of 10)	MIR3|SINE|MIR	385023	NM_001321815	5890		NM_002877	ENSG00000182185	RAD51B	R51H2|RAD51L1|REC2	RAD51 paralog B	protein-coding
ETV1-2	chr7	14238748	14239439	+	0	NA	intron (NM_001350707, intron 23 of 25)	intron (NM_001350707, intron 23 of 25)	-247668	NM_001163148	2115		NM_004956	ENSG00000006468	ETV1	ER81	ETS variant transcription factor 1	protein-coding
DMRTA1	chr9	22356990	22357510	+	0	NA	Intergenic	Intergenic	-89574	NM_022160	63951		NM_022160	ENSG00000176399	DMRTA1	DMO|DMRT4	DMRT like family A1	protein-coding
LINC00841	chr10	43895843	43896518	+	0	NA	TTS (NR_038268)	TTS (NR_038268)	-13116	NR_033846	283033		NR_033846		LINC00841	-	long intergenic non-protein coding RNA 841	ncRNA
LINC01361	chr1	83093656	83094393	+	0	NA	intron (NR_147074, intron 8 of 10)	intron (NR_147074, intron 8 of 10)	-107816	NR_110633	101927498		NR_110632	ENSG00000236268	LINC01361	-	long intergenic non-protein coding RNA 1361	ncRNA
MIR591	chr7	96198041	96198684	+	0	NA	intron (NM_001160210, intron 5 of 17)	intron (NM_001160210, intron 5 of 17)	21394	NR_030322	693176		NR_030322	ENSG00000208025	MIR591	MIRN591|hsa-mir-591	microRNA 591	ncRNA
GLI3	chr7	42159046	42159394	+	0	NA	intron (NM_000168, intron 2 of 14)	intron (NM_000168, intron 2 of 14)	77989	NM_000168	2737		NM_000168	ENSG00000106571	GLI3	ACLS|GCPS|GLI3-190|GLI3FL|PAP-A|PAPA|PAPA1|PAPB|PHS|PPDIV	GLI family zinc finger 3	protein-coding
UBE2E4P	chrX	14193125	14193965	+	0	NA	Intergenic	Intergenic	-50720	NR_110506	286480		NM_207353		UBE2E4P	UbcM2	ubiquitin conjugating enzyme E2 E4 pseudogene	pseudo
CLVS2	chr6	123016600	123016988	+	0	NA	intron (NM_001010852, intron 3 of 5)	intron (NM_001010852, intron 3 of 5)	20559	NM_001010852	134829		NM_001010852	ENSG00000146352	CLVS2	C6orf212|C6orf213|RLBP1L2|bA160A10.4	clavesin 2	protein-coding
MYO10	chr5	17004515	17005606	+	0	NA	Intergenic	Intergenic	-68772	NM_012334	4651		NM_012334	ENSG00000145555	MYO10	MyoX	myosin X	protein-coding
MATN1-AS1	chr1	30666835	30667895	+	0	NA	Intergenic	Intergenic	-51407	NR_034182	100129196		NR_034182	ENSG00000186056	MATN1-AS1	-	MATN1 antisense RNA 1	ncRNA
XIRP2	chr2	166802390	166802652	+	0	NA	Intergenic	Intergenic	-85959	NM_152381	129446		NM_152381	ENSG00000163092	XIRP2	CMYA3	xin actin binding repeat containing 2	protein-coding
MDGA2-2	chr14	47270775	47271041	+	0	NA	intron (NM_001113498, intron 2 of 16)	intron (NM_001113498, intron 2 of 16)	72338	NR_103766	161357		NM_182830	ENSG00000139915	MDGA2	MAMDC1|c14_5286	MAM domain containing glycosylphosphatidylinositol anchor 2	protein-coding
SYT17	chr16	19210302	19211229	+	0	NA	intron (NM_016524, intron 5 of 7)	intron (NM_016524, intron 5 of 7)	38430	NM_001308157	51760		NM_016524	ENSG00000103528	SYT17	Syt-17|sytXVII	synaptotagmin 17	protein-coding
LINC00615	chr12	90825688	90826592	+	0	NA	Intergenic	Intergenic	-91883	NR_038868	439916		NM_001039384	ENSG00000196243	LINC00615	C12orf37	long intergenic non-protein coding RNA 615	ncRNA
ST20-AS1	chr15	79916610	79916966	+	0	NA	intron (NR_037653, intron 1 of 2)	HERVI-int|LTR|ERV1	-5983	NR_028330	283687		NM_175898		ST20-AS1	C15orf37	ST20 antisense RNA 1	ncRNA
IQCM-2	chr4	149555278	149555949	+	0	NA	intron (NM_001378178, intron 11 of 14)	intron (NM_001378178, intron 11 of 14)	260230	NM_001378180	285423		NM_001363507	ENSG00000234828	IQCM	-	IQ motif containing M	protein-coding
NEURL1B	chr5	172628562	172628752	+	0	NA	Intergenic	L1ME3B|LINE|L1	-12606	NM_001308178	54492		NM_001142651	ENSG00000214357	NEURL1B	NEURL3|RNF67B|hNeur2|neur2	neuralized E3 ubiquitin protein ligase 1B	protein-coding
LINC00838-3	chr10	33772957	33773385	+	0	NA	promoter-TSS (NR_038932)	promoter-TSS (NR_038932)	-491	NR_038932	100505583		NR_038932	ENSG00000261683	LINC00838	-	long intergenic non-protein coding RNA 838	ncRNA
MC2R	chr18	13993656	13994271	+	0	NA	Intergenic	L1MB4|LINE|L1	-78256	NM_001291911	4158		NM_000529	ENSG00000185231	MC2R	ACTHR	melanocortin 2 receptor	protein-coding
COX6C	chr8	99794344	99794699	+	0	NA	intron (NM_152564, intron 43 of 61)	MLT1F-int|LTR|ERVL-MaLR	99186	NM_004374	1345		NM_004374	ENSG00000164919	COX6C	-	cytochrome c oxidase subunit 6C	protein-coding
LOC100507412	chr21	8032365	8032844	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	-165016	NR_038958	100507412		NR_038958		LOC100507412	-	uncharacterized LOC100507412	ncRNA
-4	chrUn_KI270438v1	8524	8798	+	0	NA	NA	ALR/Alpha|Satellite|centr	NA	NA								
MIR1269A-2	chr4	66636325	66637391	+	0	NA	Intergenic	Intergenic	360034	NR_031673	100302177		NR_031673	ENSG00000221563	MIR1269A	MIR1269|MIRN1269|hsa-mir-1269|hsa-mir-1269a	microRNA 1269a	ncRNA
CSNK2A3	chr11	11192366	11193192	+	0	NA	Intergenic	L1PA13|LINE|L1	160471	NM_001256686	283106		NM_001256686	ENSG00000254598	CSNK2A3	CSNK2A1P	casein kinase 2 alpha 3	protein-coding
FNIP2	chr4	158845310	158845873	+	0	NA	intron (NM_001366843, intron 8 of 17)	intron (NM_001366843, intron 8 of 17)	39752	NM_001366843	57600		NM_020840	ENSG00000052795	FNIP2	FNIPL|MAPO1	folliculin interacting protein 2	protein-coding
LDLRAD3	chr11	35905763	35906358	+	0	NA	Intergenic	Intergenic	-37921	NM_001304263	143458		NM_174902	ENSG00000179241	LDLRAD3	LRAD3	low density lipoprotein receptor class A domain containing 3	protein-coding
ZP4	chr1	238088701	238089249	+	0	NA	Intergenic	LTR51|LTR|ERV1	-198053	NM_021186	57829		NM_021186	ENSG00000116996	ZP4	ZBP|ZP1|ZP1B|ZPB|ZPB2|Zp-4	zona pellucida glycoprotein 4	protein-coding
LINC02006	chr3	153627458	153627856	+	0	NA	intron (NR_146713, intron 3 of 6)	intron (NR_146713, intron 3 of 6)	134869	NR_146713	105374165		NR_146713		LINC02006	-	long intergenic non-protein coding RNA 2006	ncRNA
IRF2BP2	chr1	234603914	234604112	+	0	NA	TTS (NM_001077397)	TTS (NM_001077397)	5512	NM_001077397	359948		NM_182972	ENSG00000168264	IRF2BP2	CVID14	interferon regulatory factor 2 binding protein 2	protein-coding
LINC02444	chr12	72716712	72717496	+	0	NA	Intergenic	MER34-int|LTR|ERV1	-442086	NR_110130	101928137		NR_110130	ENSG00000258123	LINC02444	-	long intergenic non-protein coding RNA 2444	ncRNA
ATXN1	chr6	16503152	16504140	+	0	NA	intron (NM_000332, intron 6 of 8)	L2b|LINE|L2	256538	NR_152114	6310		NM_000332	ENSG00000124788	ATXN1	ATX1|D6S504E|SCA1	ataxin 1	protein-coding
TGM3	chr20	2305977	2306330	+	0	NA	intron (NM_003245, intron 1 of 12)	intron (NM_003245, intron 1 of 12)	10152	NM_003245	7053		NM_003245	ENSG00000125780	TGM3	TGE|UHS2	transglutaminase 3	protein-coding
LPP-2	chr3	188298348	188299146	+	0	NA	intron (NR_164692, intron 2 of 9)	intron (NR_164692, intron 2 of 9)	85851	NM_005578	4026		NM_005578	ENSG00000145012	LPP	-	LIM domain containing preferred translocation partner in lipoma	protein-coding
LINC00460	chr13	106243214	106243612	+	0	NA	Intergenic	L1MA5A|LINE|L1	-133151	NR_034119	728192		NR_034119	ENSG00000233532	LINC00460	-	long intergenic non-protein coding RNA 460	ncRNA
DTNA-2	chr18	34632251	34632493	+	0	NA	intron (NM_001198939, intron 1 of 21)	intron (NM_001198939, intron 1 of 21)	39037	NM_001198940	1837		NM_001390	ENSG00000134769	DTNA	D18S892E|DRP3|DTN|DTN-A|LVNC1	dystrobrevin alpha	protein-coding
SNX18	chr5	54536831	54537974	+	0	NA	intron (NM_001145427, intron 1 of 1)	intron (NM_001145427, intron 1 of 1)	19643	NM_001145427	112574		NM_052870	ENSG00000178996	SNX18	SH3PX2|SH3PXD3B|SNAG1	sorting nexin 18	protein-coding
LINC01309-2	chr13	104001948	104002733	+	0	NA	Intergenic	Intergenic	577140	NR_126374	104326190		NR_126374		LINC01309	TCONS_l2_00007459	long intergenic non-protein coding RNA 1309	ncRNA
ENTHD1	chr22	39737735	39738033	+	0	NA	Intergenic	Intergenic	155876	NM_152512	150350		NM_152512	ENSG00000176177	ENTHD1	CACNA1I|dJ370M22.3	ENTH domain containing 1	protein-coding
LINC02760	chr11	38073930	38074243	+	0	NA	Intergenic	ERVL-E-int|LTR|ERVL	135485	NR_135110	105376633		NR_135110	ENSG00000254516	LINC02760	-	long intergenic non-protein coding RNA 2760	ncRNA
LINC02050	chr3	80464285	80464540	+	0	NA	Intergenic	L1P4|LINE|L1	-300485	NR_147144	105377175		NR_147143	ENSG00000242781	LINC02050	-	long intergenic non-protein coding RNA 2050	ncRNA
LINC01124	chr2	170582385	170583077	+	0	NA	intron (NR_045682, intron 33 of 35)	intron (NR_045682, intron 33 of 35)	131836	NR_027433	440925		NM_001013712	ENSG00000222033	LINC01124	-	long intergenic non-protein coding RNA 1124	ncRNA
LOC101928453	chr10	14188058	14188595	+	0	NA	intron (NR_134578, intron 2 of 3)	intron (NR_134578, intron 2 of 3)	114042	NR_120638	101928453		NR_120638		LOC101928453	-	uncharacterized LOC101928453	ncRNA
LINC00332	chr13	40116013	40116319	+	0	NA	Intergenic	Intergenic	-65643	NR_046870	100874127		NR_046870		LINC00332	NCRNA00332	long intergenic non-protein coding RNA 332	ncRNA
ACTR3B	chr7	152931461	152932025	+	0	NA	Intergenic	Intergenic	171991	NM_020445	57180		NM_020445	ENSG00000133627	ACTR3B	ARP11|ARP3BETA	actin related protein 3B	protein-coding
DAP	chr5	10932375	10933553	+	0	NA	Intergenic	Intergenic	-171730	NM_001291963	1611		NM_004394	ENSG00000112977	DAP	DAP1	death associated protein	protein-coding
SLCO4C1	chr5	101966538	101966801	+	0	NA	Intergenic	Intergenic	329615	NM_180991	353189		NM_180991	ENSG00000173930	SLCO4C1	OATP-H|OATP-M1|OATP4C1|OATPX|PRO2176|SLC21A20	solute carrier organic anion transporter family member 4C1	protein-coding
LINC02015-2	chr3	177697456	177697913	+	0	NA	intron (NR_047568, intron 3 of 3)	L1MA1|LINE|L1	-119181	NR_110826	102724550		NR_110826	ENSG00000231574	LINC02015	KCCAT211	long intergenic non-protein coding RNA 2015	ncRNA
PABPC1P2	chr2	146979119	146979434	+	0	NA	Intergenic	Intergenic	392219	NR_026904	728773		NR_026904		PABPC1P2	PABP2|PABP4|PABPCP2|PABPCP4	poly(A) binding protein cytoplasmic 1 pseudogene 2	pseudo
NOX3	chr6	155444086	155444439	+	0	NA	intron (NM_015718, intron 4 of 13)	MER44C|DNA|TcMar-Tigger	11577	NM_015718	50508		NM_015718	ENSG00000074771	NOX3	GP91-3|MOX-2	NADPH oxidase 3	protein-coding
LOC286083	chr8	1231186	1231857	+	0	NA	intron (NM_001346810, intron 2 of 14)	L1PA16|LINE|L1	71086	NR_111948	286083		NR_033895	ENSG00000275427	LOC286083	-	uncharacterized LOC286083	ncRNA
NUP93	chr16	56801716	56802222	+	0	NA	intron (NM_014669, intron 4 of 21)	intron (NM_014669, intron 4 of 21)	18513	NM_001242796	9688		NM_014669	ENSG00000102900	NUP93	NIC96	nucleoporin 93	protein-coding
CNTN1	chr12	40741976	40742592	+	0	NA	intron (NM_001256063, intron 1 of 15)	intron (NM_001256063, intron 1 of 15)	49842	NM_001256063	1272		NM_001843	ENSG00000018236	CNTN1	CMYP12|F3|GP135|MYPCN	contactin 1	protein-coding
UST-AS1	chr6	148915952	148916152	+	0	NA	intron (NM_005715, intron 2 of 7)	intron (NM_005715, intron 2 of 7)	48632	NR_038408	100128176		NR_038408		UST-AS1	-	UST antisense RNA 1	ncRNA
CMSS1	chr3	100122075	100122807	+	0	NA	intron (NM_001167924, intron 1 of 9)	intron (NM_001167924, intron 1 of 9)	7511	NM_001167924	84319		NM_032359	ENSG00000184220	CMSS1	C3orf26	cms1 ribosomal small subunit homolog	protein-coding
ETNPPL	chr4	108982653	108983124	+	0	NA	intron (NM_198721, intron 5 of 36)	intron (NM_198721, intron 5 of 36)	-219835	NM_001331031	64850		NM_031279	ENSG00000164089	ETNPPL	AGXT2L1	ethanolamine-phosphate phospho-lyase	protein-coding
LINC00470	chr18	1875335	1875784	+	0	NA	Intergenic	Intergenic	-515930	NR_023925	56651		NM_031416		LINC00470	C18orf2	long intergenic non-protein coding RNA 470	ncRNA
LRIG3-2	chr12	59026077	59026700	+	0	NA	Intergenic	Intergenic	-105884	NM_153377	121227		NM_153377	ENSG00000139263	LRIG3	LIG3	leucine rich repeats and immunoglobulin like domains 3	protein-coding
NALCN-AS1	chr13	100753469	100753854	+	0	NA	intron (NR_047687, intron 2 of 7)	intron (NR_047687, intron 2 of 7)	45336	NR_047687	100885778		NR_047687	ENSG00000233009	NALCN-AS1	-	NALCN antisense RNA 1	ncRNA
BMP7-AS1	chr20	56982382	56982798	+	0	NA	Intergenic	Intergenic	-231106	NR_110631	102723590		NR_110631		BMP7-AS1	-	BMP7 antisense RNA 1	ncRNA
MYCBP2	chr13	77382897	77383403	+	0	NA	Intergenic	Intergenic	-56056	NM_015057	23077		NM_015057	ENSG00000005810	MYCBP2	Myc-bp2|PAM|PHR1|Phr	MYC binding protein 2	protein-coding
LINC01203	chrX	13369357	13370411	+	0	NA	Intergenic	Intergenic	34643	NR_045260	100133123		NR_045260	ENSG00000226985	LINC01203	-	long intergenic non-protein coding RNA 1203	ncRNA
SPTSSA	chr14	34231512	34231988	+	0	NA	Intergenic	Intergenic	230490	NM_138288	171546		NM_138288	ENSG00000165389	SPTSSA	C14orf147|SPG90A|SPG90B|SSSPTA	serine palmitoyltransferase small subunit A	protein-coding
TDRD6-AS1	chr6	46706443	46706680	+	0	NA	intron (NM_001168357, intron 10 of 11)	intron (NM_001168357, intron 10 of 11)	-18396	NR_134643	101926934		NR_134642	ENSG00000242973	TDRD6-AS1	-	TDRD6 and SLC25A27 antisense RNA 1	ncRNA
PRTFDC1	chr10	24857123	24857692	+	0	NA	intron (NM_020200, intron 5 of 8)	intron (NM_020200, intron 5 of 8)	95199	NM_001282786	56952		NM_020200	ENSG00000099256	PRTFDC1	HHGP	phosphoribosyl transferase domain containing 1	protein-coding
SCAT8	chr6	64299105	64299564	+	0	NA	intron (NM_001292009, intron 30 of 43)	LTR22B1|LTR|ERVK	492498	NR_157848	112935969		NR_157848	ENSG00000236345	SCAT8	EYS-AS1	S-phase cancer associated transcript 8	ncRNA
CPQ	chr8	96807895	96808339	+	0	NA	intron (NM_016134, intron 2 of 7)	intron (NM_016134, intron 2 of 7)	162875	NM_016134	10404		NM_016134	ENSG00000104324	CPQ	LDP|PGCP	carboxypeptidase Q	protein-coding
EXOC6B	chr2	72520492	72520842	+	0	NA	intron (NR_135773, intron 8 of 21)	L1M6|LINE|L1	305366	NM_001321729	23233		NM_015189	ENSG00000144036	EXOC6B	SEC15B|SEC15L2|SEMDJL3	exocyst complex component 6B	protein-coding
ZBTB7C	chr18	48359648	48360301	+	0	NA	intron (NM_001371290, intron 2 of 9)	intron (NM_001371290, intron 2 of 9)	15653	NM_001371290	201501		NM_001039360	ENSG00000184828	ZBTB7C	APM-1|APM1|ZBTB36|ZNF857C	zinc finger and BTB domain containing 7C	protein-coding
LINC01088-3	chr4	79087072	79087343	+	0	NA	intron (NR_038342, intron 3 of 5)	intron (NR_038342, intron 3 of 5)	115459	NR_038342	100505875		NR_038342	ENSG00000249307	LINC01088	-	long intergenic non-protein coding RNA 1088	ncRNA
MIR4477B	chr20	29855808	29856282	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	-24339	NR_039689	100616194		NR_039689	ENSG00000266017	MIR4477B	-	microRNA 4477b	ncRNA
SCD5	chr4	82786860	82787454	+	0	NA	intron (NM_024906, intron 1 of 3)	intron (NM_024906, intron 1 of 3)	11639	NM_001037582	79966		NM_024906	ENSG00000145284	SCD5	ACOD4|DFNA79|FADS4|HSCD5|SCD2|SCD4	stearoyl-CoA desaturase 5	protein-coding
PCDH9-AS4	chr13	67082120	67082484	+	0	NA	intron (NM_203487, intron 2 of 4)	L1MA10|LINE|L1	91416	NR_046637	100874087		NR_046637	ENSG00000233840	PCDH9-AS4	-	PCDH9 antisense RNA 4	ncRNA
ZNF608-3	chr5	124697773	124698333	+	0	NA	intron (NM_001385621, intron 2 of 8)	intron (NM_001385621, intron 2 of 8)	48586	NM_020747	57507		NM_020747	ENSG00000168916	ZNF608	NY-REN-36	zinc finger protein 608	protein-coding
PDE3A-2	chr12	20486158	20486897	+	0	NA	intron (NM_000921, intron 1 of 15)	intron (NM_000921, intron 1 of 15)	-85552	NM_001244683	5139		NM_000921	ENSG00000172572	PDE3A	CGI-PDE|CGI-PDE A|CGI-PDE-A|HTNB	phosphodiesterase 3A	protein-coding
