PeakID (cmd=annotatePeaks.pl results/tmp hg38 -annStats results/merged.p-3.anno.stats -go results/results/merged.p-3.go)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
C16_Up_LUT_NA-658	chr8	106549722	106550606	+	0	NA	intron (NM_001198532, intron 2 of 15)	intron (NM_001198532, intron 2 of 15)	102240	NM_001198532	55074		NM_018002	ENSG00000164830	OXR1	CHEGDD|Nbla00307|TLDC3	oxidation resistance 1	protein-coding
C16_NA_LUT_Up-350	chr13	94829228	94830430	+	0	NA	intron (NR_110754, intron 2 of 4)	intron (NR_110754, intron 2 of 4)	68888	NR_110754	101927284		NR_110754		LOC101927284	-	uncharacterized LOC101927284	ncRNA
C16_NA_LUT_Up-804	chr3	164418038	164418982	+	0	NA	Intergenic	L1M6|LINE|L1	-246954	NR_031665	100302148		NR_031665	ENSG00000221251	MIR1263	MIRN1263|hsa-mir-1263	microRNA 1263	ncRNA
C16_NA_LUT_Up-1044	chr4	85600173	85600722	+	0	NA	intron (NM_001025616, intron 2 of 9)	L2c|LINE|L2	-122021	NR_039656	100616349		NR_039656	ENSG00000266421	MIR4451	mir-4451	microRNA 4451	ncRNA
C16_Up_LUT_NA-152	chr12	84701749	84702728	+	0	NA	Intergenic	MER21C|LTR|ERVL	210561	NM_182767	55117		NM_018057	ENSG00000072041	SLC6A15	NTT73|SBAT1|V7-3|hv7-3	solute carrier family 6 member 15	protein-coding
C16_Up_LUT_NA-524	chr5	123996826	123998406	+	0	NA	Intergenic	Intergenic	440904	NR_125774	103724389		NR_125774		LINC01170	-	long intergenic non-protein coding RNA 1170	ncRNA
C16_NA_LUT_Up-352	chr13	99471925	99472213	+	0	NA	Intergenic	Intergenic	27237	NR_110731	102725509		NR_110731		LINC01232	TCONS_00021520	long intergenic non-protein coding RNA 1232	ncRNA
C16_Up_LUT_Up-278	chr4	85681142	85682237	+	0	NA	intron (NM_001025616, intron 2 of 9)	intron (NM_001025616, intron 2 of 9)	-40779	NR_039656	100616349		NR_039656	ENSG00000266421	MIR4451	mir-4451	microRNA 4451	ncRNA
C16_NA_LUT_Up-706	chr20	41293863	41294150	+	0	NA	intron (NM_001384325, intron 1 of 4)	intron (NM_001384325, intron 1 of 4)	6114	NM_015035	23051		NM_015035	ENSG00000174306	ZHX3	TIX1	zinc fingers and homeoboxes 3	protein-coding
C16_Up_LUT_NA-733	chr9	122954374	122954730	+	0	NA	intron (NM_012197, intron 1 of 25)	intron (NM_012197, intron 1 of 25)	13532	NM_012197	23637		NM_012197	ENSG00000011454	RABGAP1	GAPCENA|TBC1D11	RAB GTPase activating protein 1	protein-coding
C16_Up_LUT_NA-90	chr11	125990206	125990704	+	0	NA	intron (NM_001243597, intron 14 of 19)	intron (NM_001243597, intron 14 of 19)	44399	NM_001365077	338667		NM_001365077	ENSG00000283703	VSIG10L2	-	V-set and immunoglobulin domain containing 10 like 2	protein-coding
C16_Up_LUT_NA-324	chr2	25741200	25741558	+	0	NA	3' UTR (NM_001369346, exon 11 of 11)	3' UTR (NM_001369346, exon 11 of 11)	53312	NM_001369347	55252		NM_018263	ENSG00000143970	ASXL2	ASXH2|SHAPNS	ASXL transcriptional regulator 2	protein-coding
C16_NA_LUT_Up-707	chr20	43975321	43975824	+	0	NA	intron (NM_032883, intron 3 of 9)	MIRb|SINE|MIR	29676	NM_001098798	84969		NM_032883	ENSG00000124191	TOX2	C20orf100|GCX-1|GCX1|dJ1108D11.2|dJ495O3.1	TOX high mobility group box family member 2	protein-coding
C16_NA_LUT_Up-552	chr18	67112322	67112859	+	0	NA	Intergenic	L1MA3|LINE|L1	31006	NR_049809	100847002		NR_049809	ENSG00000263354	MIR5011	-	microRNA 5011	ncRNA
C16_NA_LUT_Up-124	chr10	25679427	25680906	+	0	NA	intron (NR_108069, intron 3 of 3)	intron (NR_108069, intron 3 of 3)	28454	NR_108068	101929052		NR_108067	ENSG00000280809	LINC00836	-	long intergenic non-protein coding RNA 836	ncRNA
C16_NA_LUT_Up-773	chr3	135231859	135232119	+	0	NA	intron (NM_004441, intron 12 of 15)	MER126|DNA|DNA	436729	NM_004441	2047		NM_004441	ENSG00000154928	EPHB1	ELK|EPHT2|Hek6|NET	EPH receptor B1	protein-coding
C16_NA_LUT_Up-550	chr18	64925056	64925521	+	0	NA	Intergenic	L1PA13|LINE|L1	-665233	NR_033983	400654		NR_033983	ENSG00000266952	LINC01538	-	long intergenic non-protein coding RNA 1538	ncRNA
C16_Up_LUT_Up-31	chr10	118645420	118646060	+	0	NA	Intergenic	L1PB|LINE|L1	-50092	NM_004248	2834		NM_004248	ENSG00000119973	PRLHR	GPR10|GR3|PrRPR	prolactin releasing hormone receptor	protein-coding
C16_NA_LUT_Up-9	chr1	118275628	118276413	+	0	NA	Intergenic	Intergenic	-90792	NM_206996	200162		NM_206996	ENSG00000155761	SPAG17	CT143|PF6|SPGF55	sperm associated antigen 17	protein-coding
C16_NA_LUT_Up-379	chr14	52061860	52062703	+	0	NA	intron (NM_007361, intron 2 of 21)	intron (NM_007361, intron 2 of 21)	6778	NM_007361	22795		NM_007361	ENSG00000087303	NID2	NID-2	nidogen 2	protein-coding
C16_Up_LUT_NA-120	chr12	116527982	116528345	+	0	NA	Intergenic	L1ME4a|LINE|L1	-5259	NR_027345	100287569		NM_207436	ENSG00000196668	LINC00173	NCRNA00173	long intergenic non-protein coding RNA 173	ncRNA
C16_Up_LUT_NA-628	chr7	134886137	134886371	+	0	NA	intron (NM_033138, intron 3 of 14)	intron (NM_033138, intron 3 of 14)	-5146	NM_033139	800		NM_004342	ENSG00000122786	CALD1	CDM|H-CAD|HCAD|L-CAD|LCAD|NAG22|h-CD	caldesmon 1	protein-coding
C16_Up_LUT_NA-179	chr14	24558224	24558561	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	17858	NM_001911	1511		NM_001911	ENSG00000100448	CTSG	CATG|CG	cathepsin G	protein-coding
C16_Up_LUT_Up-371	chr7	84412053	84412634	+	0	NA	Intergenic	Intergenic	-120133	NR_110080	101927378		NR_110079	ENSG00000235139	LINC03017	-	long intergenic non-protein coding RNA 3017	ncRNA
C16_NA_LUT_Up-1173	chr5	6159662	6160695	+	0	NA	Intergenic	L3b|LINE|CR1	177114	NR_028351	401172		NM_001001702	ENSG00000250490	LINC02145	-	long intergenic non-protein coding RNA 2145	ncRNA
C16_Up_LUT_NA-539	chr5	152601913	152602222	+	0	NA	Intergenic	Intergenic	-196788	NM_020167	56923		NM_020167	ENSG00000132911	NMUR2	FM-4|FM4|NMU-R2|NMU2R|TGR-1|TGR1	neuromedin U receptor 2	protein-coding
C16_NA_LUT_Up-320	chr13	57743251	57743612	+	0	NA	Intergenic	Charlie29a|DNA|hAT-Charlie	111687	NM_001040429	27253		NM_014459	ENSG00000118946	PCDH17	PCDH68|PCH68	protocadherin 17	protein-coding
C16_Up_LUT_NA-48	chr10	114779713	114780679	+	0	NA	TTS (NR_120628)	TTS (NR_120628)	-11892	NM_001322884	3983		NM_002313	ENSG00000099204	ABLIM1	ABLIM|LIMAB1|LIMATIN|abLIM-1	actin binding LIM protein 1	protein-coding
C16_NA_LUT_Up-1641	chrX	21747476	21747981	+	0	NA	intron (NR_045617, intron 2 of 5)	intron (NR_045617, intron 2 of 5)	10388	NR_045617	23676		NM_014332	ENSG00000091482	SMPX	Chisel|Csl|DFN6|DFNX4|MPD7	small muscle protein X-linked	protein-coding
C16_Up_LUT_NA-122	chr12	129607256	129608082	+	0	NA	intron (NM_133448, intron 2 of 8)	intron (NM_133448, intron 2 of 8)	296356	NM_133448	121256		NM_133448	ENSG00000151952	TMEM132D	MOLT|PPP1R153	transmembrane protein 132D	protein-coding
C16_NA_LUT_Up-322	chr13	57808222	57808473	+	0	NA	Intergenic	L1MA6|LINE|L1	176603	NM_001040429	27253		NM_014459	ENSG00000118946	PCDH17	PCDH68|PCH68	protocadherin 17	protein-coding
C16_NA_LUT_Down-33	chr6	41456467	41456687	+	0	NA	Intergenic	Intergenic	-45867	NR_120347	103106903		NR_120347	ENSG00000226917	LINC01276	-	long intergenic non-protein coding RNA 1276	ncRNA
C16_Up_LUT_NA-554	chr5	29780252	29780752	+	0	NA	Intergenic	Intergenic	-100058	NR_134264	105374704		NR_134264		LOC105374704	-	uncharacterized LOC105374704	ncRNA
C16_NA_LUT_Up-748	chr3	104908869	104909732	+	0	NA	Intergenic	Intergenic	-457413	NM_001243281	214		NM_001627	ENSG00000170017	ALCAM	CD166|MEMD	activated leukocyte cell adhesion molecule	protein-coding
C16_NA_LUT_Up-1165	chr5	53879859	53880234	+	0	NA	Intergenic	Intergenic	-60364	NR_147168	105378966		NR_147167	ENSG00000250447	LINC02105	-	long intergenic non-protein coding RNA 2105	ncRNA
C16_NA_LUT_Up-1653	chrX	34578364	34578658	+	0	NA	Intergenic	Intergenic	78774	NM_031442	83604		NM_031442	ENSG00000147027	TMEM47	BCMP1|TM4SF10|VAB-9	transmembrane protein 47	protein-coding
C16_NA_LUT_Up-1509	chr8	67716991	67717864	+	0	NA	intron (NM_020361, intron 1 of 10)	intron (NM_020361, intron 1 of 10)	28933	NM_020361	57094		NM_020361	ENSG00000165078	CPA6	CPAH|ETL5|FEB11	carboxypeptidase A6	protein-coding
C16_Up_LUT_NA-80	chr10	89277970	89279864	+	0	NA	Intergenic	Intergenic	-23129	NM_001547	3433		NM_001547	ENSG00000119922	IFIT2	G10P2|GARG-39|IFI-54|IFI-54K|IFI54|IFIT-2|ISG-54|ISG-54 K|ISG-54K|ISG54|P54|cig42	interferon induced protein with tetratricopeptide repeats 2	protein-coding
C16_NA_LUT_Up-904	chr4	112403241	112404253	+	0	NA	intron (NM_025144, intron 4 of 15)	intron (NM_025144, intron 4 of 15)	106378	NM_025144	80216		NM_025144	ENSG00000073331	ALPK1	8430410J10Rik|LAK|ROSAH	alpha kinase 1	protein-coding
C16_NA_LUT_Up-52	chr1	219263883	219264999	+	0	NA	Intergenic	Intergenic	89472	NM_001300772	127018		NM_138794	ENSG00000143353	LYPLAL1	Q96AV0	lysophospholipase like 1	protein-coding
C16_NA_LUT_Up-1529	chr8	91723277	91723804	+	0	NA	Intergenic	Intergenic	294140	NM_175636	862		NM_004349	ENSG00000079102	RUNX1T1	AML1-MTG8|AML1T1|CBFA2T1|CDR|ETO|MTG8|ZMYND2	RUNX1 partner transcriptional co-repressor 1	protein-coding
C16_Up_LUT_NA-253	chr18	54823017	54823507	+	0	NA	intron (NM_001375327, intron 2 of 6)	intron (NM_001375327, intron 2 of 6)	-5215	NM_004163	5874		NM_004163	ENSG00000041353	RAB27B	C25KG	RAB27B, member RAS oncogene family	protein-coding
C16_Up_LUT_Up-344	chr6	96094216	96094498	+	0	NA	intron (NM_006581, intron 1 of 2)	Tigger7|DNA|TcMar-Tigger	78383	NM_006581	10690		NM_006581	ENSG00000172461	FUT9	Fuc-TIX	fucosyltransferase 9	protein-coding
C16_NA_LUT_Up-1036	chr4	81556801	81557430	+	0	NA	Intergenic	Intergenic	-85208	NM_001300735	153020		NM_152545	ENSG00000138670	RASGEF1B	GPIG4	RasGEF domain family member 1B	protein-coding
C16_NA_LUT_Up-375	chr14	48586165	48586398	+	0	NA	Intergenic	Intergenic	-791267	NR_039996	100506433		NR_039996	ENSG00000259129	LINC00648	-	long intergenic non-protein coding RNA 648	ncRNA
C16_Up_LUT_Up-142	chr2	14932183	14933041	+	0	NA	Intergenic	MIR3|SINE|MIR	299895	NM_145175	151354		NM_145175	ENSG00000162981	LRATD1	FAM84A|NSE1|PP11517	LRAT domain containing 1	protein-coding
C16_Up_LUT_NA-535	chr5	144194041	144194517	+	0	NA	intron (NM_020768, intron 2 of 3)	intron (NM_020768, intron 2 of 3)	-11112	NM_001370486	57528		NM_020768	ENSG00000183775	KCTD16	-	potassium channel tetramerization domain containing 16	protein-coding
C16_Up_LUT_NA-401	chr3	161510607	161510804	+	0	NA	Intergenic	Intergenic	13897	NM_001080440	131149		NM_001080440	ENSG00000182447	OTOL1	C1QTNF15|C1QTNF16	otolin 1	protein-coding
C16_Up_LUT_NA-175	chr13	77507855	77509618	+	0	NA	Intergenic	Intergenic	-26938	NM_001160706	8796		NM_003843	ENSG00000136155	SCEL	-	sciellin	protein-coding
C16_NA_LUT_Up-1172	chr5	6076208	6077479	+	0	NA	Intergenic	Intergenic	260449	NR_028351	401172		NM_001001702	ENSG00000250490	LINC02145	-	long intergenic non-protein coding RNA 2145	ncRNA
C16_NA_LUT_Up-35	chr1	190129362	190129608	+	0	NA	intron (NM_001317188, intron 6 of 6)	intron (NM_001317188, intron 6 of 6)	346525	NM_001317188	339479		NM_199051	ENSG00000162670	BRINP3	DBCCR1L|DBCCR1L1|FAM5C	BMP/retinoic acid inducible neural specific 3	protein-coding
C16_NA_LUT_Down-32	chr6	26577122	26577579	+	0	NA	Intergenic	Intergenic	8026	NR_134611	105374988		NR_134611	ENSG00000284607	LOC105374988	-	uncharacterized LOC105374988	ncRNA
C16_NA_LUT_Up-1652	chrX	32844546	32845055	+	0	NA	exon (NM_004009, exon 4 of 79)	exon (NM_004009, exon 4 of 79)	-203241	NR_031646	100302239		NR_031646	ENSG00000221348	MIR548F5	MIR548F-5|MIRN548F5|hsa-mir-548f-5	microRNA 548f-5	ncRNA
C16_Up_LUT_NA-15	chr1	190703885	190704360	+	0	NA	intron (NR_033922, intron 1 of 4)	intron (NR_033922, intron 1 of 4)	79232	NR_033922	440704		NR_033922	ENSG00000231175	LINC01720	-	long intergenic non-protein coding RNA 1720	ncRNA
C16_Up_LUT_Up-140	chr2	137288032	137288617	+	0	NA	intron (NM_001316349, intron 12 of 27)	intron (NM_001316349, intron 12 of 27)	522779	NM_001316349	80731		NM_001080427	ENSG00000144229	THSD7B	-	thrombospondin type 1 domain containing 7B	protein-coding
C16_NA_LUT_Up-1209	chr5	97079006	97079960	+	0	NA	Intergenic	Intergenic	63128	NM_153234	167410		NM_153234	ENSG00000145721	LIX1	C5orf11|Lft	limb and CNS expressed 1	protein-coding
C16_NA_LUT_Up-484	chr17	22258346	22258969	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	-40107	NR_028336	284123		NM_203392	ENSG00000178130	FAM27E5	FAM27L	family with sequence similarity E5	ncRNA
C16_Up_LUT_Up-310	chr5	50720053	50720647	+	0	NA	intron (NM_024615, intron 2 of 25)	intron (NM_024615, intron 2 of 25)	52936	NM_001331028	79668		NM_024615	ENSG00000151883	PARP8	ARTD16|pART16	poly(ADP-ribose) polymerase family member 8	protein-coding
C16_NA_LUT_Up-55	chr1	223661590	223662260	+	0	NA	intron (NM_001143962, intron 1 of 20)	L1MB3|LINE|L1	3776	NM_001143962	388743		NM_001143962	ENSG00000203697	CAPN8	nCL-2	calpain 8	protein-coding
C16_Up_LUT_NA-335	chr2	7209736	7210340	+	0	NA	Intergenic	Intergenic	-132158	NR_110252	101929452		NR_110252	ENSG00000223884	LOC101929452	-	uncharacterized LOC101929452	ncRNA
C16_Up_LUT_NA-223	chr17	16905626	16906111	+	0	NA	Intergenic	L1PA16|LINE|L1	27308	NR_147084	96597		NR_147084		TBC1D27P	TBC1D27	TBC1 domain family member 27, pseudogene	pseudo
C16_NA_LUT_Up-1229	chr6	111861586	111861922	+	0	NA	intron (NM_002037, intron 1 of 13)	intron (NM_002037, intron 1 of 13)	11317	NM_153047	2534		NM_002037	ENSG00000010810	FYN	SLK|SYN|p59-FYN	FYN proto-oncogene, Src family tyrosine kinase	protein-coding
C16_NA_LUT_Up-1162	chr5	50929286	50929709	+	0	NA	Intergenic	Intergenic	40690	NR_104653	100287592		NR_104653	ENSG00000251573	LINC02106	-	long intergenic non-protein coding RNA 2106	ncRNA
C16_NA_LUT_Up-135	chr10	4185943	4187325	+	0	NA	Intergenic	Intergenic	57278	NR_108040	100652988		NR_108040		LINC00702	-	long intergenic non-protein coding RNA 702	ncRNA
C16_NA_LUT_Up-575	chr2	116467165	116467885	+	0	NA	Intergenic	Intergenic	1123710	NM_001321913	57628		NM_020868	ENSG00000175497	DPP10	DPL2|DPPY|DPRP-3|DPRP3	dipeptidyl peptidase like 10	protein-coding
C16_Up_LUT_Up-312	chr5	63211306	63212175	+	0	NA	Intergenic	Intergenic	632921	NM_181506	100130733		NM_181506	ENSG00000186105	LRRC70	SLRN	leucine rich repeat containing 70	protein-coding
C16_Up_LUT_Up-114	chr16	66188799	66189493	+	0	NA	Intergenic	Intergenic	-177545	NM_001795	1003		NM_001795	ENSG00000179776	CDH5	7B4|CD144	cadherin 5	protein-coding
C16_Up_LUT_NA-480	chr4	34180964	34181471	+	0	NA	intron (NR_147184, intron 2 of 3)	LTR41C|LTR|ERVL	88530	NR_147183	105374394		NR_147183		LINC02484	-	long intergenic non-protein coding RNA 2484	ncRNA
C16_NA_LUT_Up-8	chr1	116716464	116717449	+	0	NA	Intergenic	L1MA7|LINE|L1	22844	NR_149353	388667		NR_149353	ENSG00000203864	LINC02868	C1orf137	long intergenic non-protein coding RNA 2868	ncRNA
C16_NA_LUT_Up-32	chr1	182450041	182450722	+	0	NA	intron (NM_001137669, intron 1 of 21)	intron (NM_001137669, intron 1 of 21)	235	NM_001366934	353299		NM_032267	ENSG00000121446	RGSL1	RGSL|RGSL2	regulator of G protein signaling like 1	protein-coding
C16_Up_LUT_NA-482	chr4	38013721	38014205	+	0	NA	intron (NM_015173, intron 2 of 19)	intron (NM_015173, intron 2 of 19)	53565	NM_006607	10744		NM_006607	ENSG00000250254	PTTG2	-	pituitary tumor-transforming 2	protein-coding
C16_Up_LUT_NA-12	chr1	18796514	18797256	+	0	NA	Intergenic	AluJb|SINE|Alu	62775	NM_152232	80834		NM_152232	ENSG00000179002	TAS1R2	GPR71|T1R2|TR2	taste 1 receptor member 2	protein-coding
C16_NA_LUT_Down-27	chr22	17726785	17727775	+	0	NA	exon (NM_001270733, exon 2 of 2)	exon (NM_001270733, exon 2 of 2)	20622	NM_001270733	23786		NM_015367	ENSG00000099968	BCL2L13	BCL-RAMBO|Bcl2-L-13|MIL1	BCL2 like 13	protein-coding
C16_NA_LUT_Up-1421	chr7	78496233	78496811	+	0	NA	intron (NM_012301, intron 5 of 21)	intron (NM_012301, intron 5 of 21)	149280	NR_003680	399670		NR_003680	ENSG00000293158	RPL13AP17	RPL13A_6_816	ribosomal protein L13a pseudogene 17	pseudo
C16_Up_LUT_Up-418	chr9	95794036	95794429	+	0	NA	Intergenic	Intergenic	-81459	NM_001010895	375748		NM_020207	ENSG00000182150	ERCC6L2	BMFS2|C9orf102|HEBO|RAD26L|SR278	ERCC excision repair 6 like 2	protein-coding
C16_Up_LUT_NA-684	chr8	138301409	138302213	+	0	NA	intron (NM_001362965, intron 3 of 19)	intron (NM_001362965, intron 3 of 19)	195450	NM_015912	51059		NM_015912	ENSG00000147724	FAM135B	C8ORFK32	family with sequence similarity 135 member B	protein-coding
C16_NA_LUT_Up-1515	chr8	74734461	74735275	+	0	NA	intron (NR_033830, intron 4 of 5)	intron (NR_033830, intron 4 of 5)	29175	NR_031744	100302260		NR_031744	ENSG00000283188	MIR2052	hsa-mir-2052	microRNA 2052	ncRNA
C16_NA_LUT_Up-1401	chr7	42159045	42159394	+	0	NA	intron (NM_000168, intron 2 of 14)	intron (NM_000168, intron 2 of 14)	77990	NM_000168	2737		NM_000168	ENSG00000106571	GLI3	ACLS|GCPS|GLI3-190|GLI3FL|PAP-A|PAPA|PAPA1|PAPB|PHS|PPDIV	GLI family zinc finger 3	protein-coding
C16_NA_LUT_Up-204	chr11	961885	962611	+	0	NA	intron (NR_144509, intron 2 of 20)	intron (NR_144509, intron 2 of 20)	36378	NM_012305	161		NM_012305	ENSG00000183020	AP2A2	ADTAB|CLAPA2|HIP-9|HIP9|HYPJ	adaptor related protein complex 2 subunit alpha 2	protein-coding
C16_Up_LUT_Up-56	chr12	105820593	105821278	+	0	NA	Intergenic	Intergenic	114161	NR_110111	101929110		NR_110108	ENSG00000257859	CASC18	-	cancer susceptibility 18	ncRNA
C16_NA_LUT_Up-1155	chr5	42224824	42225464	+	0	NA	Intergenic	L1PREC2|LINE|L1	-49799	NR_104636	101926960		NR_104635		LINC02996	-	long intergenic non-protein coding RNA 2996	ncRNA
C16_Up_LUT_NA-388	chr3	141840579	141841780	+	0	NA	Intergenic	Intergenic	-35464	NM_001679	483		NM_001679	ENSG00000069849	ATP1B3	ATPB-3|CD298	ATPase Na+/K+ transporting subunit beta 3	protein-coding
C16_NA_LUT_Up-1663	chrX	49981816	49983040	+	0	NA	intron (NM_001127899, intron 3 of 14)	Charlie30a|DNA|hAT-Charlie	-20720	NR_030241	693124		NR_030241	ENSG00000207758	MIR532	MIRN532|hsa-mir-532|mir-532	microRNA 532	ncRNA
C16_Up_LUT_NA-202	chr15	39362513	39363858	+	0	NA	Intergenic	Intergenic	112516	NR_144508	400360		NM_207445	ENSG00000175746	LINC02915	C15orf54	long intergenic non-protein coding RNA 2915	ncRNA
C16_NA_LUT_Up-680	chr2	80019676	80020496	+	0	NA	intron (NM_001164883, intron 7 of 16)	intron (NM_001164883, intron 7 of 16)	-153503	NR_107047	102465877		NR_107047	ENSG00000276917	MIR8080	hsa-mir-8080	microRNA 8080	ncRNA
C16_NA_LUT_Up-1039	chr4	82786859	82787454	+	0	NA	intron (NM_024906, intron 1 of 3)	intron (NM_024906, intron 1 of 3)	11640	NM_001037582	79966		NM_024906	ENSG00000145284	SCD5	ACOD4|DFNA79|FADS4|HSCD5|SCD2|SCD4	stearoyl-CoA desaturase 5	protein-coding
C16_NA_LUT_Up-1213	chr5	98503402	98504136	+	0	NA	Intergenic	Intergenic	-264863	NM_001366510	285704		NM_173670	ENSG00000174136	RGMB	DRAGON	repulsive guidance molecule BMP co-receptor b	protein-coding
C16_NA_LUT_Up-1526	chr8	90931090	90931490	+	0	NA	intron (NM_022351, intron 8 of 12)	intron (NM_022351, intron 8 of 12)	53787	NM_001363275	100127983		NM_001190972	ENSG00000253250	C8orf88	-	chromosome 8 open reading frame 88	protein-coding
C16_NA_LUT_Up-188	chr11	4068986	4069404	+	0	NA	intron (NR_168438, intron 5 of 9)	intron (NR_168438, intron 5 of 9)	-25490	NM_001318064	6240		NM_001033	ENSG00000167325	RRM1	PEOB6|R1|RIR1|RR1	ribonucleotide reductase catalytic subunit M1	protein-coding
C16_NA_LUT_Up-59	chr1	232100847	232101657	+	0	NA	Intergenic	MIRb|SINE|MIR	175418	NR_126441	104472714		NR_126441	ENSG00000226758	DISC1-IT1	-	DISC1 intronic transcript 1	ncRNA
