PeakID (cmd=annotatePeaks.pl - hg38 -go results/C16_Up_LUT_NA)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
CCDC26	chr8	129685224	129686061	+	0	NA	Intergenic	Intergenic	-5403	NR_130917	137196		NR_130917	ENSG00000229140	CCDC26	GLM7|RAM	CCDC26 long non-coding RNA	ncRNA
LINC00993	chr10	37380087	37380525	+	0	NA	Intergenic	Intergenic	71120	NR_104061	101929520		NR_104061	ENSG00000290801	LINC00993	-	long intergenic non-protein coding RNA 993	ncRNA
DSC3-2	chr18	30987382	30987695	+	0	NA	Intergenic	Intergenic	55204	NM_001941	1825		NM_001941	ENSG00000134762	DSC3	CDHF3|DSC|DSC1|DSC2|DSC4|HT-CP	desmocollin 3	protein-coding
RIT2	chr18	42951910	42952462	+	0	NA	intron (NM_002930, intron 3 of 4)	L1MA10|LINE|L1	163499	NM_002930	6014		NM_002930	ENSG00000152214	RIT2	RIBA|RIN|ROC2	Ras like without CAAX 2	protein-coding
RABGAP1	chr9	122954375	122954730	+	0	NA	intron (NM_012197, intron 1 of 25)	intron (NM_012197, intron 1 of 25)	13532	NM_012197	23637		NM_012197	ENSG00000011454	RABGAP1	GAPCENA|TBC1D11	RAB GTPase activating protein 1	protein-coding
CD200R1L	chr3	112889386	112889950	+	0	NA	Intergenic	L1PBa1|LINE|L1	-42812	NM_001370552	344807		NM_001008784	ENSG00000206531	CD200R1L	CD200R2|CD200RLa	CD200 receptor 1 like	protein-coding
LOC100129316-2	chr9	90992016	90992975	+	0	NA	Intergenic	ERVL-E-int|LTR|ERVL	82637	NR_033912	100129316		NR_033912		LOC100129316	-	uncharacterized LOC100129316	ncRNA
ZBTB20	chr3	115341170	115341597	+	0	NA	Intergenic	Intergenic	-194095	NM_001348800	26137		NM_015642	ENSG00000181722	ZBTB20	DPZF|HOF|ODA-8S|PRIMS|ZNF288	zinc finger and BTB domain containing 20	protein-coding
TMEM72	chr10	44706681	44707048	+	0	NA	Intergenic	Intergenic	-204452	NM_001345926	643236		NM_001123376	ENSG00000187783	TMEM72	C10orf127|KSP37	transmembrane protein 72	protein-coding
VWC2	chr7	49817050	49817509	+	0	NA	intron (NR_136188, intron 2 of 3)	intron (NR_136188, intron 2 of 3)	41946	NR_136188	375567		NM_198570	ENSG00000188730	VWC2	PSST739|UNQ739	von Willebrand factor C domain containing 2	protein-coding
SEMA3E	chr7	83882581	83883075	+	0	NA	Intergenic	Intergenic	-233689	NM_012431	9723		NM_012431	ENSG00000170381	SEMA3E	M-SEMAH|M-SemaK|SEMAH|coll-5	semaphorin 3E	protein-coding
WWP1	chr8	86319999	86320573	+	0	NA	Intergenic	Intergenic	-22261	NM_007013	11059		NM_007013	ENSG00000123124	WWP1	AIP5|Tiul1|hSDRP1	WW domain containing E3 ubiquitin protein ligase 1	protein-coding
IDO2	chr8	39972676	39973308	+	0	NA	intron (NM_194294, intron 3 of 10)	Tigger1|DNA|TcMar-Tigger	38037	NM_194294	169355		NM_194294	ENSG00000188676	IDO2	INDOL1	indoleamine 2,3-dioxygenase 2	protein-coding
LOC105377480	chr4	149024547	149024804	+	0	NA	Intergenic	Tigger3b|DNA|TcMar-Tigger	-82297	NR_134681	105377480		NR_134681	ENSG00000249317	LOC105377480	-	uncharacterized LOC105377480	ncRNA
SPACA1	chr6	87941700	87942052	+	0	NA	Intergenic	(AAAC)n|Simple_repeat|Simple_repeat	-105965	NM_030960	81833		NM_030960	ENSG00000118434	SPACA1	SAMP32|SPGF85	sperm acrosome associated 1	protein-coding
MYO10	chr5	16894207	16894705	+	0	NA	intron (NM_012334, intron 1 of 40)	MIR|SINE|MIR	41832	NM_012334	4651		NM_012334	ENSG00000145555	MYO10	MyoX	myosin X	protein-coding
LINC01139	chr1	238469110	238469658	+	0	NA	Intergenic	Intergenic	16633	NR_015407	339535		NR_015407	ENSG00000215808	LINC01139	LINK-A|LINKA	long intergenic non-protein coding RNA 1139	ncRNA
VLDLR	chr9	2443563	2444146	+	0	NA	Intergenic	L1PA10|LINE|L1	-177933	NM_001322226	7436		NM_003383	ENSG00000147852	VLDLR	CAMRQ1|CARMQ1|CHRMQ1|VLDL-R|VLDLRCH	very low density lipoprotein receptor	protein-coding
LLPH-DT	chr12	66132487	66132811	+	0	NA	intron (NR_125724, intron 1 of 1)	intron (NR_125724, intron 1 of 1)	1898	NR_125724	103625681		NR_125724	ENSG00000239335	LLPH-DT	LLPH-AS1	LLPH divergent transcript	ncRNA
RASSF10	chr11	13030992	13031212	+	0	NA	Intergenic	Intergenic	21786	NM_001080521	644943		NM_001080521	ENSG00000189431	RASSF10	-	Ras association domain family member 10	protein-coding
LINC01031	chr1	193558517	193558940	+	0	NA	Intergenic	Intergenic	253983	NR_125789	101929184		NR_125789	ENSG00000232077	LINC01031	TCONS_00000361	long intergenic non-protein coding RNA 1031	ncRNA
LONRF2	chr2	100364952	100366058	+	0	NA	Intergenic	HERVK11-int|LTR|ERVK	-43004	NM_001371783	164832		NM_198461	ENSG00000170500	LONRF2	RNF192	LON peptidase N-terminal domain and ring finger 2	protein-coding
NEFL	chr8	25049799	25051016	+	0	NA	Intergenic	Intergenic	-93795	NM_006158	4747		NM_006158	ENSG00000277586	NEFL	CMT1F|CMT2E|CMTDIG|NF-L|NF68|NFL|PPP1R110	neurofilament light chain	protein-coding
DDX18	chr2	117496369	117497227	+	0	NA	Intergenic	Intergenic	-317893	NM_006773	8886		NM_006773	ENSG00000088205	DDX18	Has1|MrDb	DEAD-box helicase 18	protein-coding
HOPX	chr4	56665919	56666485	+	0	NA	intron (NM_001145460, intron 1 of 4)	intron (NM_001145460, intron 1 of 4)	-9680	NM_001145459	84525		NM_032495	ENSG00000171476	HOPX	CAMEO|HOD|HOP|LAGY|NECC1|OB1|SMAP31|TOTO	HOP homeobox	protein-coding
LOC100289473	chr20	1812961	1813329	+	0	NA	Intergenic	MIRb|SINE|MIR	-33399	NR_037142	100289473		NR_037142	ENSG00000293374	LOC100289473	-	cytoskeleton associated protein 2-like pseudogene	pseudo
BMAL1	chr11	13160230	13161290	+	0	NA	Intergenic	Intergenic	-115892	NM_001351804	406		NM_001178	ENSG00000133794	BMAL1	ARNTL|ARNTL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5	basic helix-loop-helix ARNT like 1	protein-coding
LINC00606	chr3	10768722	10769281	+	0	NA	Intergenic	MamTip2|DNA|hAT-Tip100	-4792	NR_152730	285370		NR_027102	ENSG00000226567	LINC00606	-	long intergenic non-protein coding RNA 606	ncRNA
LINC01288	chr8	34398421	34398747	+	0	NA	Intergenic	Intergenic	-385337	NR_125746	103689844		NR_125746		LINC01288	TCONS_00014671	long intergenic non-protein coding RNA 1288	ncRNA
RASGEF1B-3	chr4	81627541	81628019	+	0	NA	Intergenic	Intergenic	-155873	NM_001300735	153020		NM_152545	ENSG00000138670	RASGEF1B	GPIG4	RasGEF domain family member 1B	protein-coding
CDH18	chr5	19927856	19929514	+	0	NA	intron (NM_001349562, intron 2 of 13)	intron (NM_001349562, intron 2 of 13)	-42413	NM_001291957	1016		NM_004934	ENSG00000145526	CDH18	CDH14|CDH14L|CDH24	cadherin 18	protein-coding
GREB1L	chr18	21218947	21219372	+	0	NA	Intergenic	Intergenic	-23083	NM_001142966	80000		NM_024935	ENSG00000141449	GREB1L	C18orf6|DFNA80|KIAA1772|RHDA3	GREB1 like retinoic acid receptor coactivator	protein-coding
LNCPRESS2	chr4	91681658	91681851	+	0	NA	Intergenic	Intergenic	595548	NR_125920	101929194		NR_125920		LNCPRESS2	-	lncRNA p53 regulated and ESC associated 2	ncRNA
TMC3	chr15	81385243	81385882	+	0	NA	intron (NR_120365, intron 6 of 6)	intron (NR_120365, intron 6 of 6)	-11349	NM_001080532	342125		NM_181841	ENSG00000188869	TMC3	-	transmembrane channel like 3	protein-coding
COL6A5	chr3	130442340	130442580	+	0	NA	intron (NM_153264, intron 35 of 39)	Kanga1b|DNA|TcMar-Tc2	96944	NM_001278298	256076		NM_153264	ENSG00000172752	COL6A5	COL29A1|VWA4	collagen type VI alpha 5 chain	protein-coding
ADAMTS20	chr12	43370275	43370632	+	0	NA	intron (NM_025003, intron 36 of 38)	intron (NM_025003, intron 36 of 38)	181750	NM_025003	80070		NM_025003	ENSG00000173157	ADAMTS20	ADAM-TS20|ADAMTS-20|GON-1	ADAM metallopeptidase with thrombospondin type 1 motif 20	protein-coding
EPGN-2	chr4	74267565	74268737	+	0	NA	intron (NR_147097, intron 8 of 9)	intron (NR_147097, intron 8 of 9)	-40319	NM_001270992	255324		NM_001013442	ENSG00000182585	EPGN	ALGV3072|EPG|PRO9904	epithelial mitogen	protein-coding
DROSHA	chr5	31524021	31524505	+	0	NA	intron (NM_001382508, intron 5 of 35)	intron (NM_001382508, intron 5 of 35)	7830	NM_001100412	29102		NM_013235	ENSG00000113360	DROSHA	ETOHI2|HSA242976|RANSE3L|RN3|RNASE3L|RNASEN	drosha ribonuclease III	protein-coding
RARB	chr3	25297734	25298326	+	0	NA	intron (NM_001290216, intron 4 of 10)	intron (NM_001290216, intron 4 of 10)	-42772	NM_001290300	5915		NM_000965	ENSG00000077092	RARB	HAP|MCOPS12|NR1B2|RARbeta|RARbeta1|RRB2	retinoic acid receptor beta	protein-coding
CASC6	chr6	91708574	91708809	+	0	NA	Intergenic	AluJr|SINE|Alu	-18263	NR_104154	101929083		NR_104154		CASC6	-	cancer susceptibility 6	ncRNA
PDYN	chr20	2022076	2022778	+	0	NA	Intergenic	Intergenic	-28142	NM_001190899	5173		NM_024411	ENSG00000101327	PDYN	ADCA|PENKB|SCA23	prodynorphin	protein-coding
LINC00210	chr1	217856872	217857742	+	0	NA	intron (NM_001375655, intron 9 of 10)	intron (NM_001375655, intron 9 of 10)	-35593	NR_048550	100885798		NR_048550	ENSG00000231814	LINC00210	NCRNA00210	long intergenic non-protein coding RNA 210	ncRNA
MIR548Q	chr10	12720107	12721199	+	0	NA	intron (NM_153498, intron 3 of 10)	MamGypsy2-I|LTR|Gypsy	4700	NR_031752	100313841		NR_031752	ENSG00000221331	MIR548Q	-	microRNA 548q	ncRNA
MRPL3	chr3	131738026	131738466	+	0	NA	intron (NM_153429, intron 3 of 16)	intron (NM_153429, intron 3 of 16)	-235275	NM_007208	11222		NM_007208	ENSG00000114686	MRPL3	COXPD9|MRL3|RPML3|uL3m	mitochondrial ribosomal protein L3	protein-coding
TMEM215	chr9	32741785	32742635	+	0	NA	Intergenic	Intergenic	-41330	NM_212558	401498		NM_212558	ENSG00000188133	TMEM215	-	transmembrane protein 215	protein-coding
LINC00538	chr1	213523904	213524395	+	0	NA	Intergenic	Intergenic	-400600	NR_046189	100861504		NR_046189		LINC00538	PROX1UT|Yiya	long intergenic non-protein coding RNA 538	ncRNA
DOCK10	chr2	224934480	224935417	+	0	NA	intron (NM_014689, intron 1 of 55)	intron (NM_014689, intron 1 of 55)	12101	NM_001290263	55619		NM_014689	ENSG00000135905	DOCK10	DRIP2|Nbla10300|ZIZ3	dedicator of cytokinesis 10	protein-coding
PPEF1	chrX	18758222	18758936	+	0	NA	intron (NM_006240, intron 8 of 18)	intron (NM_006240, intron 8 of 18)	50934	NM_001377995	5475		NM_006240	ENSG00000086717	PPEF1	PP7|PPEF|PPP7C|PPP7CA	protein phosphatase with EF-hand domain 1	protein-coding
TBC1D27P	chr17	16905627	16906111	+	0	NA	Intergenic	L1PA16|LINE|L1	27307	NR_147084	96597		NR_147084		TBC1D27P	TBC1D27	TBC1 domain family member 27, pseudogene	pseudo
BCHE	chr3	166048583	166049195	+	0	NA	Intergenic	L1PA15|LINE|L1	-211466	NR_137636	590		NM_000055	ENSG00000114200	BCHE	BCHED|CHE1|CHE2|E1	butyrylcholinesterase	protein-coding
P2RY1	chr3	152596195	152597164	+	0	NA	Intergenic	Intergenic	-238452	NM_002563	5028		NM_002563	ENSG00000169860	P2RY1	P2Y1|SARCC	purinergic receptor P2Y1	protein-coding
N4BP1	chr16	48734280	48734634	+	0	NA	Intergenic	Intergenic	-124277	NM_153029	9683		NM_014664	ENSG00000102921	N4BP1	-	NEDD4 binding protein 1	protein-coding
LOC101927159-2	chr20	42732945	42733935	+	0	NA	intron (NM_007050, intron 6 of 30)	intron (NM_007050, intron 6 of 30)	47957	NR_110004	101927159		NR_110004	ENSG00000229042	LOC101927159	-	uncharacterized LOC101927159	ncRNA
ADGRL3	chr4	61505960	61507596	+	0	NA	intron (NM_001322246, intron 3 of 25)	intron (NM_001322246, intron 3 of 25)	304606	NM_001371342	23284		NM_015236	ENSG00000150471	ADGRL3	CIRL3|CL3|LEC3|LPHN3	adhesion G protein-coupled receptor L3	protein-coding
NUDT12	chr5	104323933	104324372	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	-761363	NM_001300741	83594		NM_031438	ENSG00000112874	NUDT12	-	nudix hydrolase 12	protein-coding
KLF5	chr13	73109416	73109858	+	0	NA	Intergenic	AluJr4|SINE|Alu	50632	NM_001730	688		NM_001730	ENSG00000102554	KLF5	BTEB2|CKLF|IKLF	KLF transcription factor 5	protein-coding
LINC02147	chr5	117665148	117665436	+	0	NA	Intergenic	Intergenic	-65069	NR_104997	102467224		NR_104997		LINC02147	-	long intergenic non-protein coding RNA 2147	ncRNA
GJA5	chr1	147833635	147834426	+	0	NA	Intergenic	LTR7|LTR|ERV1	-60668	NM_005266	2702		NM_005266	ENSG00000265107	GJA5	ATFB11|CX40	gap junction protein alpha 5	protein-coding
CCDC150	chr2	196738943	196739350	+	0	NA	Intergenic	L1PA11|LINE|L1	25608	NM_001353340	284992		NM_173466	ENSG00000144395	CCDC150	-	coiled-coil domain containing 150	protein-coding
LOC101927450	chr9	78985000	78985580	+	0	NA	Intergenic	Intergenic	160376	NR_109771	101927450		NR_109771	ENSG00000260995	LOC101927450	-	uncharacterized LOC101927450	ncRNA
EXOSC2	chr9	130698392	130699033	+	0	NA	intron (NM_014285, intron 4 of 8)	intron (NM_014285, intron 4 of 8)	4932	NM_014285	23404		NM_014285	ENSG00000130713	EXOSC2	RRP4|Rrp4p|SHRF|hRrp4p|p7	exosome component 2	protein-coding
CXCR4	chr2	136060305	136060979	+	0	NA	Intergenic	Intergenic	55593	NM_001008540	7852		NM_003467	ENSG00000121966	CXCR4	CD184|D2S201E|FB22|HM89|HSY3RR|LAP-3|LAP3|LCR1|LESTR|NPY3R|NPYR|NPYRL|NPYY3R|WHIM|WHIMS|WHIMS1	C-X-C motif chemokine receptor 4	protein-coding
SHCBP1L	chr1	182972887	182973784	+	0	NA	Intergenic	L2a|LINE|L2	-20169	NM_030933	81626		NM_030933	ENSG00000157060	SHCBP1L	C1orf14|GE36	SHC binding and spindle associated 1 like	protein-coding
LINC02024-2	chr3	117622125	117622802	+	0	NA	Intergenic	Intergenic	68462	NR_146652	105374057		NR_146652	ENSG00000241213	LINC02024	-	long intergenic non-protein coding RNA 2024	ncRNA
LINC01611	chr6	84575321	84575881	+	0	NA	Intergenic	ERVL-E-int|LTR|ERVL	-100672	NR_132100	105377880		NR_132100	ENSG00000231776	LINC01611	TCONS_l2_00025430	long intergenic non-protein coding RNA 1611	ncRNA
PCDH7	chr4	30605693	30606030	+	0	NA	Intergenic	Intergenic	-114508	NM_032456	5099		NM_002589	ENSG00000169851	PCDH7	BH-Pcdh|BHPCDH|PPP1R120	protocadherin 7	protein-coding
FAM135B	chr8	138301410	138302213	+	0	NA	intron (NM_001362965, intron 3 of 19)	intron (NM_001362965, intron 3 of 19)	195450	NM_015912	51059		NM_015912	ENSG00000147724	FAM135B	C8ORFK32	family with sequence similarity 135 member B	protein-coding
PPARGC1A	chr4	23728241	23728966	+	0	NA	Intergenic	Intergenic	152689	NM_001330753	10891		NM_013261	ENSG00000109819	PPARGC1A	LEM6|PGC-1(alpha)|PGC-1alpha|PGC-1v|PGC1|PGC1A|PPARGC1	PPARG coactivator 1 alpha	protein-coding
CREB5	chr7	28478714	28479063	+	0	NA	intron (NM_004904, intron 1 of 10)	intron (NM_004904, intron 1 of 10)	43273	NM_004904	9586		NM_004904	ENSG00000146592	CREB5	CRE-BPA|CREB-5|CREBPA	cAMP responsive element binding protein 5	protein-coding
PTTG2	chr4	38013722	38014205	+	0	NA	intron (NM_015173, intron 2 of 19)	intron (NM_015173, intron 2 of 19)	53565	NM_006607	10744		NM_006607	ENSG00000250254	PTTG2	-	pituitary tumor-transforming 2	protein-coding
GNG2	chr14	51789779	51790224	+	0	NA	Intergenic	L3|LINE|CR1	-70611	NM_001243774	54331		NM_053064	ENSG00000186469	GNG2	HG3F1	G protein subunit gamma 2	protein-coding
LOC101927159	chr20	42714483	42714952	+	0	NA	intron (NM_007050, intron 6 of 30)	L1ME3|LINE|L1	29234	NR_110004	101927159		NR_110004	ENSG00000229042	LOC101927159	-	uncharacterized LOC101927159	ncRNA
CNTN3	chr3	74442693	74443511	+	0	NA	intron (NM_020872, intron 3 of 21)	intron (NM_020872, intron 3 of 21)	78038	NM_020872	5067		NM_020872	ENSG00000113805	CNTN3	BIG-1|PANG|PCS	contactin 3	protein-coding
COL26A1	chr7	101402009	101402421	+	0	NA	intron (NM_133457, intron 1 of 12)	intron (NM_133457, intron 1 of 12)	39340	NM_001278563	136227		NM_133457	ENSG00000160963	COL26A1	EMI6|EMID2|EMU2|SH2B	collagen type XXVI alpha 1 chain	protein-coding
VSNL1	chr2	17615731	17616581	+	0	NA	intron (NM_001366805, intron 2 of 2)	L2c|LINE|L2	75460	NM_001366804	7447		NM_003385	ENSG00000163032	VSNL1	HLP3|HPCAL3|HUVISL1|VILIP|VILIP-1	visinin like 1	protein-coding
FGF12-AS1	chr3	192082780	192083496	+	0	NA	Intergenic	Charlie3|DNA|hAT-Charlie	-155492	NR_046596	100873986		NR_046596	ENSG00000231383	FGF12-AS1	-	FGF12 antisense RNA 1	ncRNA
NR2C1	chr12	95083674	95084273	+	0	NA	intron (NM_018351, intron 20 of 20)	intron (NM_018351, intron 20 of 20)	-10355	NM_001032287	7181		NM_003297	ENSG00000120798	NR2C1	TR2	nuclear receptor subfamily 2 group C member 1	protein-coding
LINC00314	chr21	27893664	27894183	+	0	NA	Intergenic	Intergenic	-119440	NR_027246	246705		NM_145180	ENSG00000178457	LINC00314	C21orf94|NCRNA00314	long intergenic non-protein coding RNA 314	ncRNA
BCL10	chr1	85328897	85329347	+	0	NA	intron (NM_012137, intron 4 of 5)	intron (NM_012137, intron 4 of 5)	-52490	NM_001320715	8915		NM_003921	ENSG00000142867	BCL10	CARMEN|CIPER|CLAP|IMD37|c-E10|mE10	BCL10 immune signaling adaptor	protein-coding
ANKRD33B	chr5	10551422	10551655	+	0	NA	Intergenic	Intergenic	-12532	NM_001164440	651746		NM_001164440	ENSG00000164236	ANKRD33B	-	ankyrin repeat domain 33B	protein-coding
LINC01846	chr5	98049262	98049753	+	0	NA	Intergenic	Intergenic	111732	NR_146477	105379098		NR_146477	ENSG00000248901	LINC01846	-	long intergenic non-protein coding RNA 1846	ncRNA
LINC01614	chr2	215619151	215620252	+	0	NA	intron (NR_037195, intron 8 of 9)	intron (NR_037195, intron 8 of 9)	-98342	NR_132383	105373869		NR_132383	ENSG00000230838	LINC01614	LCAL4	long intergenic non-protein coding RNA 1614	ncRNA
DNAH9	chr17	11535328	11535597	+	0	NA	intron (NM_001173462, intron 3 of 4)	intron (NM_001173462, intron 3 of 4)	-63008	NM_001372	1770		NM_001372	ENSG00000007174	DNAH9	CILD40|DNAH17L|DNEL1|DYH9|Dnahc9|HL-20|HL20	dynein axonemal heavy chain 9	protein-coding
LOC105374704-2	chr5	30130835	30131206	+	0	NA	Intergenic	L1PA7|LINE|L1	250460	NR_134264	105374704		NR_134264		LOC105374704	-	uncharacterized LOC105374704	ncRNA
CAPZA3	chr12	18849042	18849837	+	0	NA	Intergenic	Intergenic	111320	NM_033328	93661		NM_033328	ENSG00000177938	CAPZA3	CAPPA3|Gsg3|HEL-S-86	capping actin protein of muscle Z-line subunit alpha 3	protein-coding
LINC02114	chr5	4533384	4533977	+	0	NA	Intergenic	Intergenic	-239801	NR_104619	101929153		NR_104619	ENSG00000249521	LINC02114	-	long intergenic non-protein coding RNA 2114	ncRNA
PCAT1	chr8	126840374	126840706	+	0	NA	Intergenic	L3|LINE|CR1	-172614	NR_045262	100750225		NR_045262	ENSG00000253438	PCAT1	PCA1|PCAT-1|PiHL	prostate cancer associated transcript 1	ncRNA
EHD3	chr2	31287076	31287439	+	0	NA	Intergenic	L2b|LINE|L2	53105	NM_014600	30845		NM_014600	ENSG00000013016	EHD3	PAST3	EH domain containing 3	protein-coding
LINC01753-3	chr1	55781736	55782503	+	0	NA	Intergenic	ERVL-int|LTR|ERVL	162844	NR_147162	105378739		NR_147162	ENSG00000230250	LINC01753	-	long intergenic non-protein coding RNA 1753	ncRNA
AOAH-IT1	chr7	36661090	36661820	+	0	NA	intron (NM_001177506, intron 3 of 21)	intron (NM_001177506, intron 3 of 21)	-61335	NR_046764	100874264		NR_046764	ENSG00000230539	AOAH-IT1	-	AOAH intronic transcript 1	ncRNA
